	ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
1014-G002-150-F-TIPmmrsa_S56_L001	5	1	4	1	4	12	1	10
1041-E024-1-N-TIPmmrsa_S42_L001	8*	3	3*	1	1	4	4	3
1044-E028-1-N1-TIPmmrsa_S46_L001	5	1	4	1	4	12	1	10
1095-E025-1-N-TIPmmrsa_S30_L001	5	1	4	1	4	12	1	10
1104-1026-0-HMRSA_S41_L001	367*	1	4	1	4	12	1	57*
110-A008-1-F-TIPmmrsa_S8_L001	8	3	3	1	1	4	4	3
1170-K007-210-F-TIPmmrsa_S54_L001	231	1	34	1	4	12	1	28
11-K003-1-N-TIPmmrsa_S1_L001	231	1	34	1	4	12	1	28
1252-6005-0-NMRSA_S15_L001	5	1	4	1	4	12	1	10
1258-F015-1-N-TIPmmrsa_S39_L001	8	3	3	1	1	4	4	3
1271-I001-180-N-TIPmmrsa_S43_L001	5	1	4	1	4	12	1	10
1318-D015-14-N2-TIPmmrsa_S47_L001	4542	1	4	1	4	565	1	10
1319-E031-1-N-TIPmmrsa_S51_L001	5178	1	4	599	4	12	1	10
1321-G009-1-N-TIPmmrsa_S34_L001	5	1	4	1	4	12	1	10
1332-C007-90-R-TIPmmrsa_S35_L001	231*	1	34*	1	4	12	1	28
1361-E034-1-N-TIPmmrsa_S36_L001	8	3	3	1	1	4	4	3
1373-4024-0-NMRSA_S43_L001	5	1	4	1	4	12	1	10
1396-B005-1-U-TIPmmrsa_S37_L001	5	1	4	1	4	12	1	10
1397-F021-1-W-TIPmmrsa_S57_L001	8	3	3	1	1	4	4	3
1398-E037-1-G-TIPmmrsa_S58_L001	8	3	3	1	1	4	4	3
1435-E039-1-G-TIPmmrsa_S12_L001	15	13	13	1	1	12	11	13
1436-D020-1-N1-TIPmmrsa_S60_L001	5	1	4	1	4	12	1	10
1441-I007-14-N-TIPmmrsa_S1_L001	5	1	4	1	4	12	1	10
1454-B006-14-U-TIPmmrsa_S8_L001	231	1	34	1	4	12	1	28
1456-1032-0-NMRSA_S16_L001	8	3	3	1	1	4	4	3
1476-J005-150-U-TIPmmrsa_S15_L001	1866	1	4	1	4	79	1	10
1477-J007-1-N-TIPmmrsa_S22_L001	5	1	4	1	4	12	1	10
1479-J009-1-O-TIPmmrsa_S36_L001	5	1	4	1	4	12	1	10
147-K009-14-N-TIPmmrsa_S9_L001	8	3	3	1	1	4	4	3
1480-G005-240-F-TIPmmrsa_S43_L001	5	1	4	1	4	12	1	10
1507-2023-0-NMRSA_S44_L001	5	1	4	1	4	12	1	10
1534-E001-240-N-TIPmmrsa_S9_L001	5	1	4	1	4	12	1	10
1538-G010-14-F-TIPmmrsa_S16_L001	5	1	4	1	4	12	1	10
1567-1035-0-NMRSA_S17_L001	5	1	4	1	4	12	1	10
1572-E041-1-G-TIPmmrsa_S23_L001	5	1	4	1	4	12	1	10
1634-F025-1-U-TIPmmrsa_S30_L001	5178	1	4	599	4	12	1	10
1641-I008-1-R-TIPmmrsa_S44_L001	105	1	4	1	4	12	1	28
1645-4028-14-OMRSA_S45_L001	8	3	3	1	1	4	4	3
1653-E043-14-N-TIPmmrsa_S51_L001	5	1	4	1	4	12	1	10
1663-B002-300-N1-MRSA-TIP_S13_L001	5	1	4	1	4	12	1	10
1675-F027-1-O-TIPmmrsa_S3_L001	5	1	4	1	4	12	1	10
1679-E042-30-O-TIPmmrsa_S10_L001	5	1	4	1	4	12	1	10
1681-D027-14-N-TIPmmrsa_S17_L001	5*	1	4	1	4	12	1*	10
1685-4031-0-NMRSA_S18_L001	5	1	4	1	4	12	1	10
172-3006-0-NMRSA_S57_L001	5	1	4	1	4	12	1	10
1734-E047-14-N-TIPmmrsa_S24_L001	5	1	4	1	4	12	1	10
173-6001-0-NMRSA_S58_L001	5	1	4	1	4	12	1	10
1745-6010-0-NMRSA_S46_L001	5	1	4	1	4	12	1	10
1799-J006-210-N-TIPmmrsa_S45_L001	1866	1	4	1	4	79	1	10
1837-E055-1-N-TIPmmrsa_S18_L001	5	1	4	1	4	12	1	10
1856-A011-30-N-TIPmmrsa_S25_L001	105	1	4	1	4	12	1	28
1857-I006-120-N-TIPmmrsa_S32_L001	231	1	34	1	4	12	1	28
1891-E053-14-N-TIPmmrsa_S46_L001	5	1	4	1	4	12	1	10
1894-F033-1-G-TIPmmrsa_S5_L001	5	1	4	1	4	12	1	10
1907-2026-0-NMRSA_S19_L001	5	1	4	1	4	12	1	10
1931-5004-0-HMRSA_S20_L001	8	3	3	1	1	4	4	3
1936-F012-330-F-TIPmmrsa_S12_L001	8	3	3	1	1	4	4	3
1941-1038-0-NMRSA_S20_L001	5	1	4	1	4	12	1	10
1952-3040-0-NMRSA_S48_L001	5	1	4	1	4	12	1	10
1966-B007-30-U-TIPmmrsa_S19_L001	45	10	14	8	6	10	3	2
1967-B008-1-N-TIPmmrsa_S26_L001	8*	3	3	1	1	4	4*	3
1974-4037-0-NMRSA_S22_L001	5	1	4	1	4	12	1	10
1998-5005-0-RMRSA_S50_L001	8	3	3	1	1	4	4	3
1999-1039-0-HMRSA_S23_L001	5	1	4	1	4	12	1	10
2010-4038-0-NMRSA_S51_L001	5	1	4	1	4	12	1	10
2016-F035-14-O-TIPmmrsa_S40_L001	97	3	1	1	1	1	5	3
